Ticker,BND,BND,BND,BND,BND,SPY,SPY,SPY,SPY,SPY,TSLA,TSLA,TSLA,TSLA,TSLA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2023-04-05,66.30706321727159,66.70784875388033,66.24471970645686,66.31597137451172,4345900,391.5255732993779,392.28384974684195,389.57711302940226,391.22802734375,65200200,190.52000427246094,190.67999267578125,183.75999450683594,185.52000427246094,133882500
2023-04-06,66.36052315399101,66.44067620583829,66.28036330720887,66.29817962646484,4381700,390.4313411526847,393.0325102209904,389.3851264771968,392.754150390625,63743300,183.0800018310547,186.38999938964844,179.74000549316406,185.05999755859375,123857900
2023-04-10,65.93302017874092,65.95083649809222,65.73708143548616,65.85286712646484,4224300,390.2777272293107,393.23402961478297,389.66344926995697,393.1572265625,63681000,179.94000244140625,185.10000610351562,176.11000061035156,184.50999450683594,142154600
2023-04-11,65.92409720582731,65.93300536350128,65.73706666427422,65.87957000732422,4401600,393.78116601430696,394.6641961280183,392.4949930804865,393.2628479003906,59297900,186.69000244140625,189.19000244140625,185.64999389648438,186.7899932861328,115770900
2023-04-12,66.1378591132915,66.1378591132915,65.77269935486896,65.9508285522461,4134800,395.3264818376402,395.61444936283374,391.0744279375137,391.659912109375,86420400,190.74000549316406,191.5800018310547,180.30999755859375,180.5399932861328,150256300
2023-04-13,66.09332167295125,66.16457334819118,65.86175712588833,65.91519927978516,5012700,392.7445509263928,397.21737725795947,391.60234704835096,396.86224365234375,85814800,182.9600067138672,186.5,180.94000244140625,185.89999389648438,112933000
2023-04-14,65.6836432688559,65.72817727040187,65.55895621844878,65.62129974365234,4349600,396.22873922494233,398.4171577397506,393.58919793642514,395.8927917480469,78161500,183.9499969482422,186.27999877929688,182.00999450683594,185.0,96438700
2023-04-17,65.41644989253277,65.44317436921312,65.24723564316304,65.26504516601562,5085500,395.80637894641507,397.3325100919648,394.5777937246766,397.3133239746094,66436400,186.32000732421875,189.69000244140625,182.69000244140625,187.0399932861328,116662200
2023-04-18,65.29176254024799,65.45207542490353,65.27395301747927,65.3630142211914,3728400,398.8874765900454,399.0218673008723,396.1999552913603,397.572509765625,63560000,187.14999389648438,187.69000244140625,183.5800018310547,184.30999755859375,92067000
2023-04-19,65.27395629882812,65.30067398179145,65.14926924837621,65.27395629882812,4611000,395.6624479202901,398.4075568472331,395.60486027089866,397.5053405761719,55227300,179.10000610351562,183.5,177.64999389648438,180.58999633789062,125732700
2023-04-20,65.46098296989804,65.55895233154297,65.45207481113009,65.55895233154297,3605400,394.69301944461137,397.08302413683805,393.79077385332334,395.33612060546875,75840400,166.1699981689453,169.6999969482422,160.55999755859375,162.99000549316406,210970800
2023-04-21,65.66583268379281,65.7014517305323,65.39864226870513,65.44317626953125,3371600,395.63370284019766,396.104011798768,393.6948500576411,395.643310546875,73457400,164.8000030517578,166.0,161.32000732421875,165.0800018310547,123539000
2023-04-24,65.56783528951547,65.72814811105195,65.56783528951547,65.70142364501953,2993000,395.44166194381876,396.4782981802782,394.1075090570705,396.05596923828125,64332100,164.64999389648438,165.64999389648438,158.61000061035156,162.5500030517578,140006600
2023-04-25,65.95975381446381,66.16460076693417,65.95975381446381,66.12897491455078,3508100,394.0883231137075,394.6450428024144,389.7114858346393,389.7690734863281,97766700,159.82000732421875,163.47000122070312,158.75,160.6699981689453,121999300
2023-04-26,66.09334631423219,66.15568985457695,65.81725446341056,65.89740753173828,5819900,390.3833857943013,391.4583943618871,387.56147365849546,388.1181640625,80447000,160.2899932861328,160.6699981689453,153.13999938964844,153.75,153364100
2023-04-27,65.73708329948933,65.75489961934582,65.5767703954565,65.61239624023438,3078100,390.65211692803183,396.11357024267807,390.40255091976803,395.8448181152344,92968400,152.63999938964844,160.47999572753906,152.3699951171875,160.19000244140625,127015200
2023-04-28,65.93301269350705,65.99535621428903,65.80832565194311,65.97754669189453,4469100,394.9617875942257,399.23305741321724,394.90419994068407,399.22344970703125,89433100,160.89999389648438,165.0,157.32000732421875,164.30999755859375,122515800
2023-05-01,65.70973440863118,65.76330675982133,65.22762411684639,65.2990493774414,4546500,398.7819109693187,400.8455465437123,398.58993260769745,398.8203125,62122300,163.1699981689453,163.27999877929688,158.8300018310547,161.8300018310547,109015000
2023-05-02,65.46865327718336,65.95076335253113,65.45972342074599,65.94183349609375,4825100,398.1099666648256,398.1579758951747,391.4391441559721,394.33782958984375,103998500,161.8800048828125,165.49000549316406,158.92999267578125,160.30999755859375,128259700
2023-05-03,66.08467681215531,66.22752726850223,65.94183316729305,66.21859741210938,4205600,394.83694265774216,397.2461331896153,391.3911452329056,391.631103515625,91531800,160.00999450683594,165.0,159.91000366210938,160.61000061035156,119728000
2023-05-04,65.99538241157954,66.406067155096,65.97752951468013,66.12930297851562,11535800,390.58489620304397,390.91123595861524,387.52302611509293,388.8572082519531,94901900,162.7100067138672,162.9499969482422,159.64999389648438,161.1999969482422,95108500
2023-05-05,65.89719056197977,65.94183303236801,65.78112967504887,65.88826751708984,3143200,392.48538864162396,397.1021838881152,392.22624422840113,396.05596923828125,87891800,163.97000122070312,170.7899932861328,163.50999450683594,170.05999755859375,107607300
2023-05-08,65.62043288012616,65.71864087561389,65.54900764495594,65.57579040527344,9895900,396.3823322476967,396.64147667611564,394.76021173712985,396.16156005859375,50046800,173.72000122070312,173.8000030517578,169.19000244140625,171.7899932861328,112249400
2023-05-09,65.55793716342458,65.62043254100422,65.49544178584495,65.5043716430664,3827700,394.61623373049684,395.53766541370464,394.1939047732381,394.42425537109375,49220100,168.9499969482422,169.82000732421875,166.55999755859375,169.14999389648438,88965000
2023-05-10,65.7811371721368,65.95969345107054,65.75435441144529,65.9061279296875,5291800,397.25577792419296,397.88927136463667,392.44700411687967,396.26715087890625,96142900,172.5500030517578,174.42999267578125,166.67999267578125,168.5399932861328,119840700
2023-05-11,66.22751440837011,66.28107991335646,66.08466397976204,66.12037658691406,4745900,395.40334787228096,395.86404911911495,393.5028673537258,395.57611083984375,70157100,168.6999969482422,173.57000732421875,166.7899932861328,172.0800018310547,103889900
2023-05-12,66.07574769478923,66.12038334968207,65.7721939086914,65.7721939086914,2970500,396.8142810526254,397.0254455424627,392.63900049417026,395.0577697753906,70481500,176.07000732421875,177.3800048828125,167.22999572753906,167.97999572753906,157849600
2023-05-15,65.63829828116013,65.64722814012805,65.55794998490876,65.60259246826172,3268600,395.6624389099318,396.8238288685914,393.75238023444746,396.42071533203125,54289400,167.66000366210938,169.75999450683594,164.5500030517578,166.35000610351562,105592500
2023-05-16,65.41508207329429,65.45972454476302,65.31688089673573,65.4418716430664,3818500,395.31689334176326,396.2383543170176,393.761968222226,393.7715759277344,57705500,165.64999389648438,169.52000427246094,164.35000610351562,166.52000427246094,98288800
2023-05-17,65.51326883462828,65.52219868832566,65.28114713035721,65.3257827758789,4574400,395.7871593165039,399.1561533635068,394.14585302223173,398.5514831542969,87287000,168.41000366210938,174.5,167.19000244140625,173.86000061035156,125473600
2023-05-18,65.18298181543122,65.18298181543122,65.02227840116268,65.05799102783203,3530000,398.234744921799,402.81316752783374,398.01400205687503,402.3908386230469,97177200,174.22000122070312,177.05999755859375,172.4499969482422,176.88999938964844,109520300
2023-05-19,64.92402172521336,65.12043761895288,64.8258137783436,64.87937927246094,4166800,403.29314851307697,403.8210450825171,400.5864117249465,401.8053894042969,103793300,177.1699981689453,181.9499969482422,176.30999755859375,180.13999938964844,136196700
2023-05-22,64.91511489055249,65.06688838535679,64.82583676487256,64.8615493774414,5294900,401.8246282749285,403.5043365562108,400.5864351115969,401.9685974121094,60745400,180.6999969482422,189.32000732421875,180.11000061035156,188.8699951171875,132001400
2023-05-23,64.78119060432384,64.97760655651628,64.70977219474075,64.90618133544922,4561100,400.3271976557855,401.90133808318683,397.06377080135275,397.4573059082031,86383500,186.1999969482422,192.9600067138672,185.25999450683594,185.77000427246094,156952100
2023-05-24,64.94189948522775,64.95975919775987,64.71870075896832,64.72763061523438,4245100,395.85441436146004,396.2383417764392,393.4164298740769,394.57781982421875,89213700,182.22999572753906,184.22000122070312,178.22000122070312,182.89999389648438,137605100
2023-05-25,64.69191125794707,64.71869401246875,64.45978269961947,64.486572265625,4012300,398.0811934806872,399.4441694496832,395.84479511708275,397.99481201171875,90961600,186.5399932861328,186.77999877929688,180.5800018310547,184.47000122070312,96870700
2023-05-26,64.42408902340138,64.57586253523809,64.34373393323274,64.56693267822266,3783100,398.6475192492727,403.86901432087706,398.5707454798897,403.1491394042969,93830000,184.6199951171875,198.60000610351562,184.52999877929688,193.1699981689453,162061500
2023-05-30,64.77229983877659,64.99549865722656,64.7455102589132,64.99549865722656,3533000,405.07840112218025,405.6062976614237,401.9205417166639,403.3027038574219,72216000,200.10000610351562,204.47999572753906,197.52999877929688,201.16000366210938,128818700
2023-05-31,65.0044014683535,65.29009559456694,64.95976580545204,65.20974731445312,4898400,401.4790054006544,402.38125089733444,399.5017514717894,401.0662841796875,110811800,199.77999877929688,203.9499969482422,195.1199951171875,203.92999267578125,150711700
2023-06-01,65.38606262207031,65.51137416862998,65.31445407290275,65.38606262207031,3984000,401.29664281865877,405.93265339027886,400.04887142591303,404.8768310546875,88865000,202.58999633789062,209.8000030517578,199.3699951171875,207.52000427246094,148029900
2023-06-02,65.35028090701434,65.35922685702317,65.01909637451172,65.01909637451172,4595500,407.44922983268606,411.51891359121186,406.92133324219725,410.73187255859375,91426200,210.14999389648438,217.25,209.75,213.97000122070312,164398400
2023-06-05,64.88482851422845,65.2070602504133,64.8221727226908,65.02804565429688,4674600,411.0773593229492,412.36353228842165,409.2440744066445,409.94476318359375,65460200,217.8000030517578,221.2899932861328,214.52000427246094,217.61000061035156,151143100
2023-06-06,65.06385069727078,65.12650648953834,64.92063355553395,65.1175537109375,5001900,409.5321040964684,411.3653599992297,408.8793951634606,410.83746337890625,64022200,216.13999938964844,221.91000366210938,212.52999877929688,221.30999755859375,146911600
2023-06-07,65.07279631348294,65.12650615584364,64.70581434035874,64.75056457519531,4326500,411.2309077542299,412.36350381538136,408.99448016231673,409.41680908203125,85373300,228.0,230.8300018310547,223.1999969482422,224.57000732421875,185710800
2023-06-08,64.83112167981346,65.10859633612934,64.82216890184462,65.07279205322266,3567600,409.48399798951436,412.34431121135276,408.71614321581194,411.8931884765625,61952800,224.22000122070312,235.22999572753906,223.00999450683594,234.86000061035156,164489700
2023-06-09,64.92957719092158,65.02803725475846,64.84901585279675,64.93852996826172,12690400,412.6899118726264,414.63837227354514,411.6436971048215,412.63232421875,85742800,249.07000732421875,252.4199981689453,242.02000427246094,244.39999389648438,200242400
2023-06-12,65.01013626537815,65.0817448311915,64.81322295284448,65.07279205322266,4632800,413.61131547404943,416.45241340725585,412.8914406087862,416.3756103515625,76104300,247.94000244140625,250.97000122070312,244.58999633789062,249.8300018310547,150337900
2023-06-13,65.21602928082369,65.26973230724765,64.72372877536797,64.78638458251953,4302500,417.8345546921649,419.76379931662035,417.1722675057486,419.1207275390625,95899700,253.50999450683594,259.67999267578125,251.33999633789062,258.7099914550781,162384300
2023-06-14,64.89376800448579,64.99222806087899,64.62523933632843,64.8400650024414,5986200,419.4566872999007,421.4243335080621,416.1740450929453,419.6198425292969,100612100,260.1700134277344,261.57000732421875,250.5,256.7900085449219,170575500
2023-06-15,65.12649247642658,65.26075681067321,65.0459311442915,65.24285125732422,5061200,418.8040012480244,426.0699454976172,418.7080413628314,424.8221740722656,110303100,248.39999389648438,258.95001220703125,247.2899932861328,255.89999389648438,160171200
2023-06-16,65.05487521476859,65.18913953104682,64.9295636739667,65.0996322631836,3905300,426.80484934957235,427.3732510116979,422.9030966686289,423.3751525878906,114165800,258.9200134277344,263.6000061035156,257.2099914550781,260.5400085449219,167915600
2023-06-20,65.14440614333685,65.29656923686726,65.13545336460881,65.18916320800781,4921700,421.4386947666536,422.3250049416328,419.107257409602,421.1785583496094,76160400,261.5,274.75,261.1199951171875,274.45001220703125,165611200
2023-06-21,65.06385980915373,65.3323817440617,64.96539971766309,65.29657745361328,3678700,420.19591625792975,420.9955241203809,418.43288044222425,419.02056884765625,76982300,275.1300048828125,276.989990234375,257.7799987792969,259.4599914550781,211797100
2023-06-22,65.09964197884656,65.19809520791281,64.92062058743562,64.9832763671875,3975500,418.0668439684426,420.6391018260277,417.72964857046975,420.53314208984375,70637200,250.77000427246094,265.0,248.25,264.6099853515625,166875900
2023-06-23,65.32339635123378,65.33234229671677,65.0638205239409,65.17122650146484,4163100,417.08416191308544,419.1362056994903,416.64100677536294,417.3539123535156,92074500,259.2900085449219,262.45001220703125,252.8000030517578,256.6000061035156,177460800
2023-06-26,65.26076094374541,65.32341672649957,65.18915238374974,65.2518081665039,6287800,416.7855154988048,418.7026693868189,415.40786249787595,415.6487121582031,72823600,250.07000732421875,258.3699951171875,240.6999969482422,241.0500030517578,179990600
2023-06-27,65.26970564962532,65.36816571050315,65.04593402562443,65.12649536132812,4816100,416.52540707007813,420.8221567639146,416.0726085341393,420.2055969238281,72813700,243.24000549316406,250.38999938964844,240.85000610351562,250.2100067138672,164968200
2023-06-28,65.21601576329643,65.34132735162584,65.10860290374148,65.3323745727539,5517200,419.1265310456325,421.4290677123489,418.509971256602,420.4175109863281,75636000,249.6999969482422,259.8800048828125,248.88999938964844,256.239990234375,159770800
